"id","category","cluster","predicted_category"
1,"Agriculture",11,"Economy"
2,"Agriculture",11,"Economy"
3,"Agriculture",11,"Economy"
4,"Agriculture",17,"Opinion"
5,"Agriculture",17,"Opinion"
6,"Agriculture",17,"Opinion"
7,"Agriculture",17,"Opinion"
8,"Agriculture",17,"Opinion"
9,"Agriculture",17,"Opinion"
10,"Agriculture",17,"Opinion"
11,"Agriculture",17,"Opinion"
12,"Agriculture",17,"Opinion"
13,"Agriculture",11,"Economy"
14,"Agriculture",17,"Opinion"
15,"Agriculture",17,"Opinion"
16,"Agriculture",17,"Opinion"
17,"Agriculture",17,"Opinion"
18,"Agriculture",17,"Opinion"
19,"Agriculture",17,"Opinion"
20,"Agriculture",17,"Opinion"
21,"Agriculture",17,"Opinion"
22,"Agriculture",17,"Opinion"
23,"Agriculture",17,"Opinion"
24,"Agriculture",11,"Economy"
25,"Agriculture",17,"Opinion"
26,"Agriculture",17,"Opinion"
27,"Agriculture",17,"Opinion"
28,"Agriculture",17,"Opinion"
29,"Agriculture",17,"Opinion"
30,"Agriculture",17,"Opinion"
31,"Agriculture",17,"Opinion"
32,"Agriculture",17,"Opinion"
33,"Agriculture",17,"Opinion"
34,"Agriculture",17,"Opinion"
35,"Agriculture",11,"Economy"
36,"Agriculture",17,"Opinion"
37,"Agriculture",17,"Opinion"
38,"Agriculture",17,"Opinion"
39,"Agriculture",17,"Opinion"
40,"Agriculture",19,"Literature"
41,"Agriculture",17,"Opinion"
42,"Agriculture",17,"Opinion"
43,"Agriculture",17,"Opinion"
44,"Agriculture",17,"Opinion"
45,"Agriculture",17,"Opinion"
46,"Agriculture",11,"Economy"
47,"Agriculture",17,"Opinion"
48,"Agriculture",17,"Opinion"
49,"Agriculture",17,"Opinion"
50,"Agriculture",17,"Opinion"
51,"Agriculture",17,"Opinion"
52,"Agriculture",17,"Opinion"
53,"Agriculture",17,"Opinion"
54,"Agriculture",17,"Opinion"
55,"Agriculture",17,"Opinion"
56,"Agriculture",17,"Opinion"
57,"Agriculture",11,"Economy"
58,"Agriculture",17,"Opinion"
59,"Agriculture",17,"Opinion"
60,"Agriculture",17,"Opinion"
61,"Agriculture",17,"Opinion"
62,"Agriculture",17,"Opinion"
63,"Agriculture",17,"Opinion"
64,"Agriculture",17,"Opinion"
65,"Agriculture",17,"Opinion"
66,"Agriculture",17,"Opinion"
67,"Agriculture",17,"Opinion"
68,"Agriculture",11,"Economy"
69,"Agriculture",17,"Opinion"
70,"Agriculture",17,"Opinion"
71,"Agriculture",17,"Opinion"
72,"Agriculture",17,"Opinion"
73,"Agriculture",17,"Opinion"
74,"Agriculture",17,"Opinion"
75,"Agriculture",17,"Opinion"
76,"Agriculture",17,"Opinion"
77,"Agriculture",17,"Opinion"
78,"Agriculture",17,"Opinion"
79,"Agriculture",11,"Economy"
80,"Agriculture",17,"Opinion"
81,"Agriculture",17,"Opinion"
82,"Agriculture",17,"Opinion"
83,"Agriculture",17,"Opinion"
84,"Agriculture",17,"Opinion"
85,"Agriculture",17,"Opinion"
86,"Agriculture",17,"Opinion"
87,"Agriculture",17,"Opinion"
88,"Agriculture",17,"Opinion"
89,"Agriculture",17,"Opinion"
90,"Agriculture",11,"Economy"
91,"Agriculture",17,"Opinion"
92,"Agriculture",17,"Opinion"
93,"Agriculture",17,"Opinion"
94,"Agriculture",17,"Opinion"
95,"Agriculture",17,"Opinion"
96,"Agriculture",17,"Opinion"
97,"Agriculture",17,"Opinion"
98,"Agriculture",17,"Opinion"
