topic,doc_count,avg_sim
ओली,2728,0.3469047248363495
देउवा,2925,0.3816114664077759
प्रचण्ड,3606,0.3684264123439789
नेपालप्रसाद,1639,0.37239423394203186
सरकार,1764,0.3775692284107208
नेपाली कांग्रेस,1823,0.38203805685043335
एमाले,1770,0.34675389528274536
माओवादी केन्द्र,5274,0.43926671147346497
राष्ट्रिय प्रजातन्त्र पार्टी,5158,0.46194303035736084
नेपाल मजदुर किसान पार्टी,868,0.3641194999217987
भ्रष्टाचार,248,0.34285449981689453
अर्थतन्त्र,2279,0.3597974479198456
रोजगारी,128,0.35418033599853516
शिक्षा,546,0.37757986783981323
स्वास्थ्य,135,0.36744940280914307
प्रवाल,18,0.3463119566440582
प्रवास,955,0.3519757390022278
प्रविधि,1628,0.3569934368133545
पर्यटन,403,0.3552529811859131
खनिज,11,0.3530596196651459
ऊर्जा,1467,0.3316039443016052
चुनाव,731,0.37890055775642395
जलस्रोत,467,0.33817389607429504
वन्यजन्तु,2191,0.36330413818359375
वातावरण संरक्षण,422,0.35124433040618896
प्रदूषण,119,0.3386806547641754
प्रवासी श्रमिक,574,0.35461878776550293
महिला अधिकार,146,0.3770114779472351
जातीय विभेद,2499,0.3651040494441986
विद्यार्थी,991,0.3622092008590698
शिक्षक,415,0.37001901865005493
अस्पताल सेवा,145,0.36297452449798584
महामारी,670,0.3531973361968994
मोबाइल नेटवर्क,99,0.3627661168575287
इन्टरनेट ब्यान्डविड्थ,1021,0.353989839553833
हिमालय ट्रेकिङ,1988,0.37971124053001404
धार्मिक मेला,2657,0.3898146450519562
सडक दुर्घटना,321,0.3723955750465393
लोकमार्ग मर्मत,309,0.3735067546367645
खाडी रोजगारी,916,0.34559863805770874
रोजगार बीमा,24,0.3565256595611572
क्रिकेट,184,0.4089641571044922
फुटबल,646,0.34461909532546997
भलिबल,2836,0.3845832943916321
कबड्डी,1793,0.34918299317359924
बक्सिङ,4143,0.41459622979164124
बास्केटबल,2521,0.3454720973968506
टेनिस,103,0.3480614721775055
चलचित्र प्रिमियर,3934,0.40007880330085754
संगीत कार्यक्रम,1901,0.36488112807273865
स्तम्भ लेख,3026,0.3925289213657379
पाठक समालोचना,1807,0.3489992916584015
दृष्टि शिविर,321,0.3420403003692627
सुरक्षित यातायात,226,0.37192806601524353
गोपनीयता,290,0.337470680475235
साइबर सुरक्षा,341,0.3495342433452606
मौसम अपडेट,50,0.3420509099960327
बजार मूल्य,540,0.3900480568408966
नयाँ परियोजना,4663,0.3894956707954407
घटना रेकर्ड,481,0.33603787422180176
शिक्षण प्रविधि,1631,0.37378978729248047
कृषि प्रविधि,335,0.3869045376777649
वन प्रविधि,144,0.3438001573085785
ग्लोबल वार्मिंग,606,0.33934733271598816
संस्कृति कार्यक्रम,1652,0.370868980884552
श्रमिक संगठन,586,0.3563733398914337
उद्योग प्रगति,439,0.37161776423454285
वित्तीय समावेशीकरण,464,0.3573998510837555
भूकम्प उद्धार,547,0.3614494800567627
चुनावी परिणाम,660,0.37849435210227966
